DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA4COUNTRY,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCOFFCO2,PARTCOFFCRUDE,PARTCOFFETHANOL,PARTCOFFHVL,PARTCOFFRPP,PARTCONCO2,PARTCONCRUDE,PARTCONETHANOL,PARTCONHVL,PARTCONRPP,PARTDONCPB,PARTDONCPC,PARTDONCUB,PARTDONCUC,PARTDONCUP,PARTDONCUO,PARTDONTOTAL,PARTDOFFCPB,PARTDOFFCPC,PARTDOFFCUB,PARTDOFFCUC,PARTDOFFCUP,PARTDOFFCUO,PARTDOFFTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCUPTOTAL,PARTDCUOTOTAL,PARTDTOTALMILES,PARTEUNKNHF,PARTEUNKNLF,PARTEUNKNTOTAL,PARTEPRE40HF,PARTEPRE40LF,PARTEPRE40TOTAL,PARTE1940HF,PARTE1940LF,PARTE1940TOTAL,PARTE1950HF,PARTE1950LF,PARTE1950TOTAL,PARTE1960HF,PARTE1960LF,PARTE1960TOTAL,PARTE1970HF,PARTE1970LF,PARTE1970TOTAL,PARTE1980HF,PARTE1980LF,PARTE1980TOTAL,PARTE1990HF,PARTE1990LF,PARTE1990TOTAL,PARTE2000HF,PARTE2000LF,PARTE2000TOTAL,PARTE2010HF,PARTE2010LF,PARTE2010TOTAL,PARTE2020HF,PARTE2020LF,PARTE2020TOTAL,PARTETOTAL,PARTETOTALHF,PARTETOTALLF,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
2/2/2026,2019.0,20200263.0,17488.0,117.0,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,,CO2,,TEXAS,,11.72,11.72,,,,,,5272879.0,0.0,0.0,0.0,0.0,0.0,12.91,0.0,0.0,0.0,0.0,12.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.91,0.0,0.0,0.0,0.0,12.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.91,0.0,12.91,0.0,0.0,0.0,12.91,12.91,0.0,INITIAL,6/9/2020,6/9/2020,7000-1.1 (Rev. 06-2014)
2/2/2026,2019.0,20200336.0,17964.0,300.0,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1600",HOUSTON,TX,77002,,Crude Oil,"ALABAMA, ARKANSAS, COLORADO, ILLINOIS, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TENNESSEE, TEXAS, WYOMING","ALABAMA, CALIFORNIA, COLORADO, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TEXAS, WYOMING",,2022.67,2022.67,,,,,,0.0,366686940807.0,0.0,0.0,0.0,233.97,8214.48,0.0,0.0,3.94,1361.49,9813.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.97,8214.48,0.0,0.0,3.94,1361.49,9813.88,0.01,13.51,13.52,0.24,43.66,43.9,0.0,731.43,731.43,0.12,349.14,349.26,0.0,624.55,624.55,292.98,5.29,298.27,103.19,0.17,103.36,480.16,3.06,483.22,423.71,0.0,423.71,4269.59,0.01,4269.6,0.0,0.0,0.0,7340.82,5570.0,1770.82,SUPPLEMENTAL,6/11/2020,7/20/2020,7000-1.1 (Rev. 06-2014)
2/2/2026,2019.0,20200337.0,18153.0,300.0,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1600",HOUSTON,TX,77002,,HVL,MICHIGAN,"CALIFORNIA, TEXAS",,49.03,49.03,,,,,,0.0,0.0,0.0,76186716.0,0.0,0.0,117.46,0.0,0.0,0.0,7.27,124.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.46,0.0,0.0,0.0,7.27,124.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,47.99,0.0,47.99,0.0,0.0,0.0,48.0,48.0,0.0,SUPPLEMENTAL,6/11/2020,4/7/2021,7000-1.1 (Rev. 01-2020)
2/2/2026,2019.0,20200338.0,17568.0,300.0,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1600",HOUSTON,TX,77002,,Refined and/or Petroleum Product (non-HVL),,CALIFORNIA,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.72,0.0,0.0,0.0,0.0,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,0.0,0.0,0.0,0.0,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INITIAL,6/11/2020,6/11/2020,7000-1.1 (Rev. 06-2014)
2/2/2026,2019.0,20200172.0,17395.0,395.0,AMOCO OIL CO,30 S. WACKER DRIVE,CHICAGO,IL,60606,,Refined and/or Petroleum Product (non-HVL),"ILLINOIS, INDIANA, IOWA, MICHIGAN, MINNESOTA, MISSOURI",,,684.5,684.5,,,,,,,,,,14340034073.0,0.0,1152.2,0.0,0.0,0.0,0.0,1152.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.2,0.0,0.0,0.0,0.0,1152.2,0.0,0.0,0.0,0.0,0.6,0.6,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.9,0.9,0.6,0.9,1.5,18.5,0.0,18.5,58.5,0.0,58.5,5.1,0.0,5.1,1.4,0.0,1.4,0.0,0.0,0.0,101.5,84.1,17.4,INITIAL,6/2/2020,6/2/2020,7000-1.1 (Rev. 06-2014)
2/2/2026,2019.0,20200560.0,18002.0,473.0,ANADARKO PETROLEUM CORP,5 GREENWAY PLAZA SUITE 110,HOUSTON,TX,77046,,Crude Oil,,"COLORADO, TEXAS, WYOMING",,147.6,147.6,,,,,,,5990020858.0,,,,0.0,492.05,0.0,0.0,0.0,0.0,492.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.05,0.0,0.0,0.0,0.0,492.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,29.6,0.0,2.0,2.0,0.66,0.0,0.66,0.95,0.0,0.95,0.0,0.0,0.0,458.84,0.0,458.84,0.0,0.0,0.0,492.05,460.45,31.6,SUPPLEMENTAL,6/15/2020,9/29/2020,7000-1.1 (Rev. 06-2014)
2/2/2026,2019.0,20200561.0,21582.0,473.0,ANADARKO PETROLEUM CORP,5 GREENWAY PLAZA SUITE 110,HOUSTON,TX,77046,,HVL,,"COLORADO, TEXAS, UTAH, WYOMING",,67.68,67.68,,,,,,,,,194382426.0,,0.0,278.32,0.0,0.0,0.0,0.0,278.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.32,0.0,0.0,0.0,0.0,278.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.17,0.0,91.17,0.0,0.0,0.0,6.2,0.0,6.2,16.5,0.0,16.5,164.45,0.0,164.45,0.0,0.0,0.0,278.32,278.32,0.0,SUPPLEMENTAL,6/15/2020,8/22/2024,7000-1.1 (Rev. 01-2020)
2/2/2026,2019.0,20200232.0,17456.0,515.0,DAKOTA GASIFICATION COMPANY,DAKOTA GASIFICATION COMPANY 1717 EAST INTERSTATE AVENUE,BISMARCK,ND,58503-0564,,CO2,NORTH DAKOTA,,,32.9,32.9,,,,,,1980986540.0,,,,,0.0,167.04,0.0,0.0,0.0,0.0,167.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.04,0.0,0.0,0.0,0.0,167.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.55,0.0,164.55,2.22,0.0,2.22,0.27,0.0,0.27,0.0,0.0,0.0,167.04,167.04,0.0,INITIAL,6/8/2020,6/8/2020,7000-1.1 (Rev. 06-2014)
2/2/2026,2019.0,20200508.0,17752.0,879.0,CHEMOIL TERMINALS CORP.,"4 EMBARCADERO CTR., 34TH FLOOR",SAN FRANCISCO,CA,94111,,Refined and/or Petroleum Product (non-HVL),,CALIFORNIA,,11.9,11.9,,,,,,,1154.0,,,22091187.0,0.0,11.9,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INITIAL,6/14/2020,6/14/2020,7000-1.1 (Rev. 06-2014)
2/2/2026,2019.0,20200367.0,17600.0,994.0,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",ONE WILLIAMS CENTER P.O. BOX 645,TULSA,OK,74172,,Crude Oil,OCS-Gulf of Mexico,,0.0,,0.0,0.0,541551.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,23.2,0.0,23.2,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.43,0.0,17.43,0.0,0.0,0.0,17.43,17.43,0.0,INITIAL,6/11/2020,6/11/2020,7000-1.1 (Rev. 06-2014)
